event_title,summary,image_url,language,event_type,event_host,ticket_price,booking_url,start_date,end_date,start_time,end_time,event_place,full_address,country_name,state_name,city_name,postal_code
Jann Arden,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F948615583%2F272615311890%2F1%2Foriginal.20250130-161422?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.0685230601918&fp-y=0.62302461311&s=b78db6f9e085acd9b0db609252be1fcc,,,Centennial Hall,75.83,https://www.eventbrite.ca/e/jann-arden-tickets-1225018576539?aff=ebdssbdestsearch,2025-06-02,2025-06-02,19:00,,Centennial Hall,"550 Wellington Street London, ON N6A 3P9 Show map",Canada,ON,,N6A 3P9
Bécancour à vélo 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F908713413%2F289800433524%2F1%2Foriginal.20241129-181807?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.5&s=4c3338e8e556958935faa45f3844da0d,,,Bécancour à vélo,0  - 35,https://www.eventbrite.ca/e/billets-becancour-a-velo-2025-1105891865339?aff=ebdssbdestsearch,,,,,Quai Ste-Angèle,"101 Avenue des Nénuphars Bécancour, QC G9H 4T6 Afficher la carte",Canada,QC,,G9H 4T6
Spring Convocation 2025 - Lambton College in Toronto,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F685228949%2F1986251590353%2F1%2Foriginal.20240129-204351?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C50%2C1600%2C800&s=39a63532ed41a83b4831eb7df53dc4d4,,,Lambton College,,https://www.eventbrite.ca/e/spring-convocation-2025-lambton-college-in-toronto-tickets-1308444485679?aff=ebdssbdestsearch,2025-06-17,2025-06-01,09:00,17:00,"John Bassett Theatre, Metro Toronto Convention Centre","255 Front Street West Toronto, ON M5V 2W6 Show map",Canada,ON,,M5V 2W6
Career Compass 2025 Summer – Job Fair,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F1042994433%2F2376478127933%2F1%2Foriginal.20250531-174634?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=5e-07&fp-y=5e-07&s=3c17d51a81cf06e5c3f89cf2b02c53b5,,,7UP Career Consulting,0 - 852.28,https://www.eventbrite.ca/e/career-compass-2025-summer-job-fair-registration-1270736780919?aff=ebdssbdestsearch,2025-06-08,2025-06-01,12:00,17:00,Hilton Toronto/Markham Suites Conference Centre & Spa,"8500 Warden Avenue Markham, ON L6G 1A5 Show map",Canada,ON,,L6G 1A5
Produce Ontario Ladies Conference,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F959539233%2F177107096755%2F1%2Foriginal.20250212-232819?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=94%2C0%2C552%2C276&s=7e70e95f6ec34a7dd170dc7d707c11f7,,,Ontario Ladies Ministries,169,https://www.eventbrite.ca/e/produce-ontario-ladies-conference-registration-1247627500439?aff=ebdssbdestsearch,,,,,Hyuck's Bay Conference Centre,"858 Bakker Rd Hillier, ON K0K 2J0 Show map",Canada,ON,,K0K 2J0
16th Annual Farms for Change Fundraiser,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F974109853%2F21945532874%2F1%2Foriginal.20250303-204722?w=600&auto=format%2Ccompress&q=75&sharp=10&s=f409a409933347fa504a59d94e8c14e2,,,The New Farm Centre,212.11,https://www.eventbrite.ca/e/16th-annual-farms-for-change-fundraiser-tickets-1264272044719?aff=ebdssbdestsearch,2025-06-07,2025-06-01,17:30,23:30,The New Farm,"9783 Sideroad 6 & 7 Nottawasaga Creemore, ON L0M 1G0 Show map",Canada,ON,,L0M 1G0
"Christian Music Festival 2025 | Toronto, ON",,,,,Christian Music Festival,Free,https://www.eventbrite.ca/e/christian-music-festival-2025-toronto-on-tickets-1217189439379?aff=ebdssbdestsearch,2012-06-14,2025-06-01,,21:00,Nathan Phillips Square,"100 Queen Street West Toronto, ON M5H 2N3 Show map",Canada,ON,,M5H 2N3
"Festival des Couleurs, inspiré de HOLI, Vieux-Port de Montréal",,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F922774383%2F226249708790%2F1%2Foriginal.20241223-221639?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C264%2C2048%2C1024&s=bdc5ef905cfa28373555b3861dede99e,,,Festivals de l'Inde,0  - 9712,https://www.eventbrite.ca/e/billets-festival-des-couleurs-inspire-de-holi-vieux-port-de-montreal-1097652932469?aff=ebdssbdestsearch,,,,,Quai de l'Horloge,"rue Montreal, QC H2L 5C1 Afficher la carte",Canada,QC,,H2L 5C1
Échappée de l'Isle-aux-Coudres 2025,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F800356369%2F17492608077%2F1%2Foriginal.20240702-165702?w=600&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=025eb131be3e6920215552e6986e62ce,,,Événements Harricana,0,https://www.eventbrite.com/e/billets-echappee-de-lisle-aux-coudres-2025-907893352457?aff=ebdssbdestsearch,,,,,L'Isle-aux-Coudres,"Charlevoix, QC Afficher la carte",Canada,QC,,
TORONTO BARBER EXPO HAIRFEST CHAPTER III 2K25,,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F977508083%2F1341226239433%2F1%2Foriginal.20250306-233142?crop=focalpoint&fit=crop&w=600&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.5&fp-y=0.0255972696246&s=51cb2601fa01ca05476aba1074e07440,,,ICONIC MEN GROOMING CO.,67.79,https://www.eventbrite.ca/e/toronto-barber-expo-hairfest-chapter-iii-2k25-tickets-1042385512127?aff=ebdssbdestsearch,2025-06-22,2025-06-01,11:00,21:00,Universal Event Space,"6250 Highway 7 Vaughan, ON L4H 4G3 Show map",Canada,ON,,L4H 4G3
