title,link
"Festival des Couleurs, inspiré de HOLI, Vieux-Port de Montréal",https://www.eventbrite.ca/e/billets-festival-des-couleurs-inspire-de-holi-vieux-port-de-montreal-1097652932469?aff=ebdssbdestsearch
16th Annual Farms for Change Fundraiser,https://www.eventbrite.ca/e/16th-annual-farms-for-change-fundraiser-tickets-1264272044719?aff=ebdssbdestsearch
Bécancour à vélo 2025,https://www.eventbrite.ca/e/billets-becancour-a-velo-2025-1105891865339?aff=ebdssbdestsearch
Échappée de l'Isle-aux-Coudres 2025,https://www.eventbrite.com/e/billets-echappee-de-lisle-aux-coudres-2025-907893352457?aff=ebdssbdestsearch
Produce Ontario Ladies Conference,https://www.eventbrite.ca/e/produce-ontario-ladies-conference-registration-1247627500439?aff=ebdssbdestsearch
Jann Arden,https://www.eventbrite.ca/e/jann-arden-tickets-1225018576539?aff=ebdssbdestsearch
"Christian Music Festival 2025 | Toronto, ON",https://www.eventbrite.ca/e/christian-music-festival-2025-toronto-on-tickets-1217189439379?aff=ebdssbdestsearch
Spring Convocation 2025 - Lambton College in Toronto,https://www.eventbrite.ca/e/spring-convocation-2025-lambton-college-in-toronto-tickets-1308444485679?aff=ebdssbdestsearch
Career Compass 2025 Summer –  Job Fair,https://www.eventbrite.ca/e/career-compass-2025-summer-job-fair-registration-1270736780919?aff=ebdssbdestsearch
TORONTO BARBER EXPO HAIRFEST CHAPTER III 2K25,https://www.eventbrite.ca/e/toronto-barber-expo-hairfest-chapter-iii-2k25-tickets-1042385512127?aff=ebdssbdestsearch
LOHS Graduation: Class of 2025 Commencement Ceremony,https://www.eventbrite.ca/e/lohs-graduation-class-of-2025-commencement-ceremony-tickets-1297238347819?aff=ebdssbdestsearch
Spectacle 30 ans DMA,https://www.eventbrite.ca/e/spectacle-30-ans-dma-tickets-1345806947809?aff=ebdssbdestsearch
Squamish Beer Festival 2025,https://www.eventbrite.ca/e/squamish-beer-festival-2025-tickets-1266388745829?aff=ebdssbdestsearch
Carmina Burana,https://www.eventbrite.ca/e/carmina-burana-tickets-1113930097909?aff=ebdssbdestsearch
¿PorQuéNo? at D/6 Vancouver | Tulum Day Festival Experience,https://www.eventbrite.ca/e/porqueno-at-d6-vancouver-tulum-day-festival-experience-tickets-1284029148749?aff=ebdssbdestsearch
Canadian Finance Summit 2025,https://www.eventbrite.ca/e/canadian-finance-summit-2025-tickets-887765700107?aff=ebdssbdestsearch
2025 CANADIAN INTELLIGENCE CONFERENCE (CANIC 2025)    NEW DATE 17 JUNE 2025,https://www.eventbrite.ca/e/2025-canadian-intelligence-conference-canic-2025-new-date-17-june-2025-tickets-1035018938507?aff=ebdssbdestsearch
Carmina Burana  - Juin 2025,https://www.eventbrite.ca/e/billets-carmina-burana-juin-2025-1107229827219?aff=ebdssbdestsearch
Shuswap Trails 20th Anniversary Celebration Featuring Five Alarm Funk,https://www.eventbrite.ca/e/shuswap-trails-20th-anniversary-celebration-featuring-five-alarm-funk-tickets-1146464589449?aff=ebdssbdestsearch
Dev Fest 2025,https://www.eventbrite.com/e/dev-fest-2025-tickets-1307158238479?aff=ebdssbdestsearch
CIM North Central 2025 Conference and AGM - June 16-18,https://www.eventbrite.ca/e/cim-north-central-2025-conference-and-agm-june-16-18-tickets-1285104394839?aff=ebdssbdestsearch
Star Trek vs Star Wars,https://www.eventbrite.ca/e/star-trek-vs-star-wars-tickets-940340733447?aff=ebdssbdestsearch
#ExperienceTO: High Park Historical Tour,https://www.eventbrite.ca/e/experienceto-high-park-historical-tour-tickets-1116161692669?aff=ebdssbdestsearch
Crowned - BC Ladies Retreat 2025,https://www.eventbrite.ca/e/crowned-bc-ladies-retreat-2025-registration-1312979479969?aff=ebdssbdestsearch
41st Annual Qualitative Analysis Conference,https://www.eventbrite.ca/e/41st-annual-qualitative-analysis-conference-tickets-1146218874509?aff=ebdssbdestsearch
